CUI,Description,DescriptionSource,Description-GPT
C0238767,Affecting both sides of the body or a matched pair of organs.,NCI,This keyword describes medical conditions that impact both sides of the body or organs in a paired manner.
C1514893,"Return to the normal structure and/or function, e.g. the subsidence of a pathologic process, as the subsidence of an inflammatory lesion or new growth.",NCI,None
C0221198,"A localized pathological or traumatic structural change, damage, deformity, or discontinuity of tissue, organ, or body part.",NCI,"Distinct abnormality or irregularity in tissue, organ, or body part."
C0039985,An x-ray examination of the chest.,NCI,"The x-ray shows the lungs, heart, and ribs in black and white, highlighting any abnormalities present in the chest."
C0205266,Undamaged in any way; whole.,NCI,"The tissue appeared intact and healthy with no signs of damage, indicating it was in a pristine state."
C0021102,A prosthesis placed permanently in tissue.,NCI,"A prosthetic implant surgically inserted into tissue for long-term use, serving as a permanent replacement for missing body parts."
C0336721,None,None,None
C1314939,To have a connection by participation or association or use; sharing in an activity or process.,NCI,To have a connection by participation or association or use; sharing in an activity or process.
C0015376,"The leakage of body fluid or cells from the vascular system to the surrounding tissues. This process occurs either by force or as a result of a pathologic reaction (e.g., inflammation). This process may sometimes allow cancer cells to migrate from capillaries to adjacent tissues, initiating micro-metastases.",NCI,"Vascular leakage leads to fluid or cell escape from blood vessels, potentially facilitating micro-metastases in adjacent tissues."
C0009924,Substances used to allow enhanced visualization of tissues.,MSH,Contrast agents are used to improve visibility of tissues during medical imaging procedures.
C0000833,"Accumulation of purulent material in tissues, organs, or circumscribed spaces, usually associated with signs of infection.",MSH,"A medical condition characterized by purulent material buildup in tissues or organs, often signaling infection."
C0019080,Bleeding or escape of blood from a vessel.,MSH,Blood escape from vessel.
C0332281,Joined in some kind of relationship.,NCI,"The image depicts two cells joined in a relationship, sharing a boundary"
C0031039,Fluid accumulation within the PERICARDIUM. Serous effusions are associated with pericardial diseases. Hemopericardium is associated with trauma. Lipid-containing effusion (chylopericardium) results from leakage of THORACIC DUCT. Severe cases can lead to CARDIAC TAMPONADE.,MSH,"Pericardial effusions can be serous, hemorrhagic, or chylous, with severe cases potentially resulting in cardiac tamponade."
C0039798,"Used with diseases for therapeutic interventions except drug therapy, diet therapy, radiotherapy, and surgery, for which specific subheadings exist. The concept is also used for articles and books dealing with multiple therapies.",MSH,"This keyword covers various therapeutic interventions for diseases, excluding drug therapy, diet therapy, radiotherapy, and surgery."
C0475373,"A general term that refers to a TNM finding of primary tumor growth beyond the level of in situ cancer, minimal subepithelial invasion, or minimal greatest diameter. The definition of T2 TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to primary tumor that is more than 2.0 cm, but not more than 5.0 cm in greatest dimension; for cutaneous melanoma it refers to primary tumor that is 1.01 to 2 mm in thickness, with or without ulceration; for colorectal cancer it refers to primary tumor with invasion into the muscularis propria; and for bladder cancer it refers to primary tumor with invasion into the muscle layer.",NCI,"T2 TNM finding indicates primary tumor growth beyond in situ cancer, with specific dimensions depending on cancer type."
C0002978,Radiography of blood vessels after injection of a contrast medium.,MSH,"Visualization of blood vessels using contrast dye, to assess for blockages or abnormalities, commonly performed before interventional procedures."
C0000726,That portion of the body that lies between the THORAX and the PELVIS.,MSH,"The image shows the anatomical region known as the ABDOMEN, positioned between the THORAX and the PELVIS."
C0030797,The space or compartment surrounded by the pelvic girdle (bony pelvis). It is subdivided into the greater pelvis and LESSER PELVIS. The pelvic girdle is formed by the PELVIC BONES and SACRUM.,MSH,"The space within the pelvic girdle, divided into greater and lesser pelvis, formed by pelvic bones and sacrum."
C0439234,"A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.",NCI,None
C0024485,Non-invasive method of demonstrating internal anatomy based on the principle that atomic nuclei in a strong magnetic field absorb pulses of radiofrequency energy and emit them as radiowaves which can be reconstructed into computerized images. The concept includes proton spin tomographic techniques.,MSH,This medical imaging technique creates detailed internal anatomy images using radiofrequency energy and magnetic fields.
C0086296,None,None,None
C0010709,"Any fluid-filled closed cavity or sac that is lined by an EPITHELIUM. Cysts can be of normal, abnormal, non-neoplastic, or neoplastic tissues.",MSH,"A fluid-filled cavity lined by epithelium, may be normal or abnormal, non-neoplastic or neoplastic tissues."
C0227579,That portion of the pancreas lying in the concavity of the duodenum.,NCI,The portion of the pancreas located in the duodenal concavity.
C0032790,The period following a surgical operation.,MSH,"Recovery process includes pain management, wound healing, and physical therapy."
C0678234,None,None,None
C0005889,Liquid components of living organisms.,MSH,"Complex mixtures of proteins, lipids, carbohydrates, and electrolytes, responsible for maintaining cellular functions and overall health."
C0600644,Items gathered and assembled in some order to facilitate access or use.,MSH,"The medical keyword involves collecting and arranging items for easier access, without specified characteristics or details provided."
C0037993,An encapsulated lymphatic organ through which venous blood filters.,MSH,The description lacks specific details about the appearance or function of the organ. None.
C1301886,The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,NCI,"This keyword refers to the diameter of a circle or sphere, connecting two points on the circumference through the center."
C0035359,"An area occupying the most posterior aspect of the ABDOMINAL CAVITY. It is bounded laterally by the borders of the quadratus lumborum muscles and extends from the DIAPHRAGM to the brim of the true PELVIS, where it continues as the pelvic extraperitoneal space.",MSH,"The most posterior area of the abdominal cavity, bordered by quadratus lumborum muscles, extending from diaphragm to pelvic brim."
C0013604,Abnormal fluid accumulation in TISSUES or body cavities. Most cases of edema are present under the SKIN in SUBCUTANEOUS TISSUE.,MSH,"Excessive fluid accumulation in tissues or body cavities, commonly seen as swelling under the skin in subcutaneous tissue."
C0205098,Toward the middle or inside (as opposed to lateral).,NCI,"The image shows a structure positioned more towards the middle or inside, rather than the outer edges."
C0517667,None,None,None
C0024109,Either of the pair of organs occupying the cavity of the thorax that effect the aeration of the blood.,MSH,The lungs are the organs in the thorax that oxygenate blood. They have a spongy texture and are pink in color.
C0205106,"refers to a cross-sectional view of the brain commonly presented in illustrations of its internal structure. Roughly speaking, the term refers to a horizontal plane that extends from the front to the back of the brain. For a more precise definition of its use in BrainInfo see \"" plane of section \"". For a comprehensive review and discussion of uses of this and related terms by different authors, see ( Anthoney-1994 ).",NEU,The term refers to a horizontal slice view of the brain extending from front to back.
C0014876,The muscular membranous segment between the PHARYNX and the STOMACH in the UPPER GASTROINTESTINAL TRACT.,MSH,This medical keyword refers to the area between the pharynx and stomach in the upper gastrointestinal tract.
C0332479,The spatial arrangement of something as distinct from its substance.,NCI,"The organization and structure of an object, without describing its material composition or properties."
C0746405,None,None,None
C0031153,"A membrane of squamous EPITHELIAL CELLS, the mesothelial cells, covered by apical MICROVILLI that allow rapid absorption of fluid and particles in the PERITONEAL CAVITY. The peritoneum is divided into parietal and visceral components. The parietal peritoneum covers the inside of the ABDOMINAL WALL. The visceral peritoneum covers the intraperitoneal organs. The double-layered peritoneum forms the MESENTERY that suspends these organs from the abdominal wall.",MSH,The peritoneum is a membrane of squamous epithelial cells that lines the abdominal wall and covers intraperitoneal organs.
C0205143,The inclination of one line to another or the plane of one object to another.,NCI,The image depicts a clear demonstration of the angular relationship between two lines or objects.
C0024947,"One of a pair of irregularly shaped bones that form the upper jaw. A maxillary bone provides tooth sockets for the superior teeth, forms part of the ORBIT, and contains the MAXILLARY SINUS.",MSH,"The maxillary bone is irregularly shaped, forms the upper jaw, contains the maxillary sinus, and provides tooth sockets."
C0220825,"Systematic, objective appraisal of the significance, effectiveness, and impact of activities or condition according to specified objectives and criteria.",NCI,Comprehensive evaluation of activities or conditions based on specific objectives and criteria for determining significance and effectiveness.
C0040132,"A highly vascularized endocrine gland consisting of two lobes joined by a thin band of tissue with one lobe on each side of the TRACHEA. It secretes THYROID HORMONES from the follicular cells and CALCITONIN from the parafollicular cells thereby regulating METABOLISM and CALCIUM level in blood, respectively.",MSH,"Highly vascularized endocrine gland with two lobes, secreting thyroid hormones and calcitonin to regulate metabolism and blood calcium levels."
C0041618,The visualization of deep structures of the body by recording the reflections or echoes of ultrasonic pulses directed into the tissues. Use of ultrasound for imaging or diagnostic purposes employs frequencies ranging from 1.6 to 10 megahertz.,MSH,Ultrasound imaging uses high-frequency sound waves to create detailed images of deep body structures for diagnostic purposes.
C0020564,"General increase in bulk of a part or organ due to CELL ENLARGEMENT and accumulation of FLUIDS AND SECRETIONS, not due to tumor formation, nor to an increase in the number of cells (HYPERPLASIA).",MSH,"Symmetric enlargement of organ or tissue, without tumor or increase in cell number, caused by cell enlargement and fluid accumulation."
C0205385,None,None,None
C0439064,"Having, relating to, or consisting of more than one individual, element, part, or other component; manifold.",NCI,"The medical keyword ""multifaceted"" describes something that is diverse or has many different aspects or components."
C0006104,"The part of CENTRAL NERVOUS SYSTEM that is contained within the skull (CRANIUM). Arising from the NEURAL TUBE, the embryonic brain is comprised of three major parts including PROSENCEPHALON (the forebrain); MESENCEPHALON (the midbrain); and RHOMBENCEPHALON (the hindbrain). The developed brain consists of CEREBRUM; CEREBELLUM; and other structures in the BRAIN STEM.",MSH,"The brain is the central nervous system inside the skull, consisting of forebrain, midbrain, hindbrain, cerebrum, cerebellum, and brainstem."
C0439230,Any period of seven consecutive days.,NCI,None
C0032961,"The status during which female mammals carry their developing young (EMBRYOS or FETUSES) in utero before birth, beginning from FERTILIZATION to BIRTH.",MSH,"The process of carrying developing young in utero, from fertilization to birth, unique to female mammals."
C0225706,The 3-lobed lung located on the right side of the body.,NCI,The right lung has three lobes.
C0015965,"The unborn young of a viviparous mammal, in the postembryonic period, after the major structures have been outlined. In humans, the unborn young from the end of the eighth week after CONCEPTION until BIRTH, as distinguished from the earlier EMBRYO, MAMMALIAN.",MSH,"The fetus is the stage of development after the embryo, typically starting from the 8th week until birth in humans."
C0003962,Accumulation or retention of free fluid within the peritoneal cavity.,MSH,"Increased abdominal girth, swelling, discomfort, and difficulty breathing may be present. None."
C0000768,Malformations of organs or body parts during development in utero.,MSH,"Abnormalities of organ development seen in prenatal ultrasounds, such as heart defects or limb malformations."
C3887511,Knowledge on which to base belief.,NCI,Knowledge on which to base belief.
C0035190,The volume of air remaining in the LUNGS at the end of a maximal expiration. Common abbreviation is RV.,MSH,"The RV is the amount of air left in the lungs after a full exhale, commonly abbreviated as RV."
C0205107,Situated nearest to a point of attachment or origin.,NCI,Proximal means closer to the body's core or starting point of a limb.
C0205108,"Situated farthest from a point of attachment or origin, as of a limb or bone; or directed away from the midline of the body.",NCI,"Distal refers to the farthest point from the body's midline or attachment, typically used in relation to limbs or bones."
C0016976,"A storage reservoir for BILE secretion. Gallbladder allows the delivery of bile acids at a high concentration and in a controlled manner, via the CYSTIC DUCT to the DUODENUM, for degradation of dietary lipid.",MSH,The gallbladder stores and regulates the release of bile acids for digestion of dietary fat in the duodenum.
C0005400,"The channels that collect and transport the bile secretion from the BILE CANALICULI, the smallest branch of the BILIARY TRACT in the LIVER, through the bile ductules, the bile ducts out the liver, and to the GALLBLADDER for storage.",MSH,Channels within liver collect bile and transport it to gallbladder for storage.
C0226054,A blood vessel arising from the bifurcation of the pulmonary artery that carries deoxygenated blood to the right lung.,NCI,Branching artery that supplies right lung; attached to pulmonary artery; carries deoxygenated blood.
C0453107,None,None,None
C0227614,A bean-shaped retroperitoneal organ situated below the diaphragm and posterior to the spleen.,NCI,Kidney: Bean-shaped organ located retroperitoneally below diaphragm and behind spleen. None.
C0041951,One of a pair of thick-walled tubes that transports urine from the KIDNEY PELVIS to the URINARY BLADDER.,MSH,The ureter is a thick-walled tube that carries urine from the kidney pelvis to the urinary bladder.
C0023884,"A large lobed glandular organ in the abdomen of vertebrates that is responsible for detoxification, metabolism, synthesis and storage of various substances.",MSH,"The liver is a vital organ for detoxifying, metabolizing, and storing substances in the body of vertebrates."
C0005682,"A musculomembranous sac along the URINARY TRACT. URINE flows from the KIDNEYS into the bladder via the ureters (URETER), and is held there until URINATION.",MSH,The bladder is a musculomembranous sac in the urinary tract that stores urine before it is released during urination.
C0016658,Breaks in bones.,MSH,"Fractures can be seen on X-rays as dark, jagged lines through the bone. Swelling and bruising may also appear."
C0034571,"Used with organs, regions, and diseases for x-ray examinations.",MSH,"X-ray examinations used for imaging organs and regions related to specific diseases, aiding in diagnosis and treatment."
C0005931,"A specialized CONNECTIVE TISSUE that is the main constituent of the SKELETON. The principal cellular component of bone is comprised of OSTEOBLASTS; OSTEOCYTES; and OSTEOCLASTS, while FIBRILLAR COLLAGENS and hydroxyapatite crystals form the BONE MATRIX.",MSH,"Bone is a specialized connective tissue that forms the skeleton, consisting of osteoblasts, osteocytes, osteoclasts, collagen, and hydroxyapatite crystals."
C0742919,Computed tomography that uses a contrast agent to visualize anatomic structures.,NCI,Contrast-enhanced CT captures detailed images of body structures by highlighting differences in tissue density with contrast agent.
C0034052,The short wide vessel arising from the conus arteriosus of the right ventricle and conveying unaerated blood to the lungs.,MSH,"The pulmonary trunk is a short, wide vessel that carries deoxygenated blood from the right ventricle to the lungs."
C1705504,"Human KAT5 wild-type allele is located within 11q13 and is approximately 8 kb in length. This allele, which encodes histone acetyltransferase KAT5 protein, is involved in the acetylation of nucleosomal histones H4 and H2A.",NCI,Encodes histone acetyltransferase involved in acetylation of nucleosomal histones H4 and H2A on chromosome 11q13.
C0002940,"Pathological outpouching or sac-like dilatation in the wall of any blood vessel (ARTERIES or VEINS) or the heart (HEART ANEURYSM). It indicates a thin and weakened area in the wall which may later rupture. Aneurysms are classified by location, etiology, or other characteristics.",MSH,"Thin and weakened area in blood vessel wall, may rupture. Classified by location, etiology, or other characteristics."
C0025066,"A membrane in the midline of the THORAX of mammals. It separates the lungs between the STERNUM in front and the VERTEBRAL COLUMN behind. It also surrounds the HEART, TRACHEA, ESOPHAGUS, THYMUS, and LYMPH NODES.",MSH,"The mediastinum is a vital structure in the thorax that houses the heart, trachea, esophagus, thymus, and lymph nodes."
C0205090,Being or located on or directed toward the side of the body to the east when facing north.,NCI,"The keyword describes a specific direction on the body, indicating its position relative to cardinal directions."
C0227486,The smaller lobe of the liver extending into the left side of the body.,NCI,The left lobe of the liver appears smaller and extends into the left side of the body.
C0032326,"An accumulation of air or gas in the PLEURAL CAVITY, which may occur spontaneously or as a result of trauma or a pathological process. The gas may also be introduced deliberately during PNEUMOTHORAX, ARTIFICIAL.",MSH,"Accumulation of air in the pleural cavity, possibly from trauma or a pathological process, leading to pneumothorax."
C0205091,Being or located on or directed toward the side of the body to the west when facing north.,NCI,Lateral - side of the body facing west when facing north.
C0016169,"Abnormal communication most commonly seen between two internal organs, or between an internal organ and the surface of the body.",MSH,"Abnormal communication between organs, or between organ and body surface. None."
C0332290,Marked by a reasonable or logical relation of parts and holding together as a harmonious or credible whole.,NCI,"Coherent and cohesive in structure and function, displaying a logical and harmonious organization."
C0012751,The space separating two objects or points.,NCI,None
C0392760,To be influenced by or changed.,NCI,"The image shows a patient undergoing treatment with medications that alter their symptoms, demonstrating therapeutic effectiveness."
C0205094,Denoting the front surface of the body; often used to indicate the position of one structure relative to another.,NCI,Anterior position on the body often indicates a structure's front surface relative to another.
C0015811,"The longest and largest bone of the skeleton, it is situated between the hip and the knee.",MSH,"The longest and largest bone of the skeleton, it is situated between the hip and the knee."
C0003483,The main trunk of the systemic arteries.,MSH,"The aorta is the largest artery in the body, responsible for carrying oxygen-rich blood away from the heart."
C0003023,"A republic in southern Africa, southwest of DEMOCRATIC REPUBLIC OF THE CONGO and west of ZAMBIA. Its capital is Luanda.",MSH,"Angola is located in southern Africa, with Luanda as its capital"
C0205129,None,None,The medical keyword lacks any specific characteristics for summarization in a 20-word sentence. Its features are not defined.
C0205117,Next to or adjoining.,NCI,"The medical keyword ""adjacent"" describes objects or structures that are next to or adjoining each other."
C0205400,An increase in the thickness of a structure.,NCI,"The image shows thickening of a structure, possibly indicating a medical condition."
C0040184,"The second longest bone of the skeleton. It is located on the medial side of the lower leg, articulating with the FIBULA laterally, the TALUS distally, and the FEMUR proximally.",MSH,"The tibia is a robust bone located in the lower leg, articulating with the fibula, talus, and femur."
C0009368,The segment of LARGE INTESTINE between the CECUM and the RECTUM. It includes the ASCENDING COLON; the TRANSVERSE COLON; the DESCENDING COLON; and the SIGMOID COLON.,MSH,"The colon is divided into segments: ascending, transverse, descending, and sigmoid, connecting the cecum and rectum. None."
C0031809,Systematic and thorough inspection of the patient for physical signs of disease or abnormality.,MSH,Comprehensive examination of patient for signs of illness or abnormalities; systematic review to detect potential health issues.
C0034896,"The distal segment of the LARGE INTESTINE, between the SIGMOID COLON and the ANAL CANAL.",MSH,"Located in the lower abdomen, the rectum is the final portion of the large intestine before the anal canal."
C1444754,"The linear extent in space from one end of something to the other end, or the extent of something from beginning to end.",NCI,The measurement of the length of an object or organism from one end to the other.
C0002059,An enzyme that catalyzes the conversion of an orthophosphoric monoester and water to an alcohol and orthophosphate. EC 3.1.3.1.,MSH,This enzyme plays a crucial role in breaking down orthophosphoric monoesters into alcohols and orthophosphates.
C0225317,"A general term comprising tissue that is not hardened or calcified; including muscle, fat, blood vessels, nerves, tendons, ligaments and fascia.",NCI,"Soft tissues include muscle, fat, blood vessels, nerves, tendons, ligaments, and fascia, not hardened or calcified."
C0522510,"The degree or magnitude of strength, energy, or feeling.",NCI,The assessment of a patient's vitality and overall well-being is crucial for determining their medical condition. None.
C0184666,Cumplimiento de los pasos necesarios para admitir a un paciente a un hospital,SCTSPA,The process of admitting a patient to a hospital involves following necessary steps for compliance with protocols.
C0205081,"<p>Privacy metadata indicating the level of protection required to safeguard personal and healthcare information, which if disclosed without authorization, would present a moderate risk of harm to an individual's reputation and sense of privacy.</p><i>Usage Note:</i>The level of protection afforded moderately confidential information is dictated by privacy policies intended to engender trust in a service provider. May include publicly available information in jurisdictions that restrict uses of that information without the consent of the data subject.<p>Privacy policies mandating moderate levels of protection, which preempt less protective privacy policies. ""Moderate"" confidentiality policies differ from and would be preempted by the prevailing privacy policies mandating the normative level of protection for information used in the delivery and management of healthcare.</p>Confidentiality code total order hierarchy: Moderate (M) is less protective than<i>V, R, and N*, and subsumes all other protection levels (i.e., *L</i>and *U*).<b>Examples:</b>Includes personal and health information that an individual authorizes to be collected, accessed, used or disclosed to a bank for a health credit card or savings account; to health oversight authorities; to a hospital patient directory; to worker compensation, disability, property and casualty or life insurers; and to personal health record systems, consumer-controlled devices, social media accounts and online Apps; or for marketing purposes",HL7V3.0,Privacy metadata indicates level of protection for personal and healthcare info to prevent moderate risk of harm.
C0178602,"A quantity of an agent (such as substance or energy) administered, taken, or absorbed at one time.",NCI,This keyword describes the amount of a substance or energy consumed or absorbed in a single instance.
C0024091,VERTEBRAE in the region of the lower BACK below the THORACIC VERTEBRAE and above the SACRAL VERTEBRAE.,MSH,This region of the lower back supports the spine and is crucial for maintaining posture and movement.
C0032227,Presence of fluid in the pleural cavity resulting from excessive transudation or exudation from the pleural surfaces. It is a sign of disease and not a diagnosis in itself.,MSH,Accumulation of fluid in pleural cavity indicates underlying disease; not a diagnosis on its own.
C0086582,"A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.",NCI,"Male: typically produces sperm, gender role distinctions, and biological sex differences may be present."
C0011900,"The determination of the nature of a disease or condition, or the distinguishing of one disease or condition from another. Assessment may be made through physical examination, laboratory tests, or the likes. Computerized programs may be used to enhance the decision-making process.",MSH,"Disease diagnosis and differentiation through physical exam, lab tests, and possibly computerized programs for decision making."
C0225897,The left lower chamber of the heart that receives blood from the left atrium and pumps it through the aorta to the body.,NCI,The left ventricle receives blood from the left atrium and sends it to the body through the aorta. None.
C0225883,The lower chamber of the heart located in the right side. It receives blood from the right atrium that is no longer oxygenated and it pumps it to the pulmonary artery.,NCI,"The medical keyword is describing the right ventricle of the heart, which receives deoxygenated blood and pumps it to the lungs."
C0021853,The section of the alimentary canal from the STOMACH to the ANAL CANAL. It includes the LARGE INTESTINE and SMALL INTESTINE.,MSH,"The gastrointestinal tract consists of the stomach, small intestine, and large intestine, continuing to the anal canal."
C0728985,The set of vertebrae immediately caudal to the skull.,NCI,"The image shows a detailed view of the cervical vertebrae, with clear markings and numbered labeling for easy identification."
C0205131,Situated on or along or in the direction of an axis.,NCI,"The image shows a structure located on an axis, with a clear orientation and alignment."
C0013931,"A method of hemostasis utilizing various agents such as Gelfoam, silastic, metal, glass, or plastic pellets, autologous clot, fat, and muscle as emboli. It has been used in the treatment of spinal cord and INTRACRANIAL ARTERIOVENOUS MALFORMATIONS, renal arteriovenous fistulas, gastrointestinal bleeding, epistaxis, hypersplenism, certain highly vascular tumors, traumatic rupture of blood vessels, and control of operative hemorrhage.",MSH,"Hemostasis method using various agents as emboli for treating vascular malformations, bleeding, trauma, tumors, and surgical hemorrhage."
C0030274,A nodular organ in the ABDOMEN that contains a mixture of ENDOCRINE GLANDS and EXOCRINE GLANDS. The small endocrine portion consists of the ISLETS OF LANGERHANS secreting a number of hormones into the blood stream. The large exocrine portion (EXOCRINE PANCREAS) is a compound acinar gland that secretes several digestive enzymes into the pancreatic ductal system that empties into the DUODENUM.,MSH,"The pancreas is a mixed gland with endocrine and exocrine functions, secreting hormones and enzymes into the bloodstream and digestive system."
C0227613,A bean-shaped retroperitoneal organ situated below the diaphragm and posterior to the liver.,NCI,"Anatomical location near liver and diaphragm, bean-shaped, retroperitoneal organ; serves various essential functions in the body."
C0728938,Being or affecting only a part of something.,NCI,"Partial involvement in an area of the body, such as a single limb or organ, rather than in entirety."
C0332575,None,None,None
C0392756,Made less in size or amount or degree.,NCI,"The tumor shrunk significantly after the chemotherapy treatment, showing a reduction in size, amount, and degree of growth."
C0202823,Computed tomography of the chest.,NCI,CT of the chest provides detailed cross-sectional images of the chest area to detect abnormalities such as tumors or pneumonia.
C0449584,None,None,None
C0005847,"Any of the tubular vessels conveying the blood (arteries, arterioles, capillaries, venules, and veins).",MSH,"These vessels transport blood throughout the body, supplying oxygen and nutrients to tissues and removing waste products."
C0008059,"A person 6 to 12 years of age. An individual 2 to 5 years old is CHILD, PRESCHOOL.",MSH,"A 6 to 12-year-old child is in the school-age range, while a 2 to 5-year-old is considered preschool-age."
C0025266,"Human males as cultural, psychological, sociological, political, and economic entities.",MSH,None
C0012691,Displacement of bones from their normal positions at a joint.,MSH,"Bone dislocation visible on X-ray with misalignment of joint, possible fracture, swelling, bruising, and restricted range of motion."
C0746408,None,None,None
C1710082,"A detectable physical quantity or impulse (e.g., voltage, current, or magnetic field strength).",NCI,"The medical keyword refers to a measurable entity like voltage, current, or magnetic field strength."
C0036974,A pathological condition manifested by failure to perfuse or oxygenate vital organs.,MSH,Hypoxia due to inadequate perfusion resulting in tissue damage and organ dysfunction.
