CUI,Description,Source,Description-GPT
C0023078,"A tubular organ of VOICE production. It is located in the anterior neck, superior to the TRACHEA and inferior to the tongue and HYOID BONE.",MSH,"The larynx image characteristics include a tubular shape located in the anterior neck, between the trachea, tongue, and hyoid bone."
C0228233,None,None,None
C0042036,"Liquid by-product of excretion produced in the kidneys, temporarily stored in the bladder until discharge through the URETHRA.",MSH,"Yellow liquid waste with distinct odor, varying in color depending on hydration levels and health status of individual."
C0013443,"The hearing and equilibrium system of the body. It consists of three parts: the EXTERNAL EAR, the MIDDLE EAR, and the INNER EAR. Sound waves are transmitted through this organ where vibration is transduced to nerve signals that pass through the ACOUSTIC NERVE to the CENTRAL NERVOUS SYSTEM. The inner ear also contains the vestibular organ that maintains equilibrium by transducing signals to the VESTIBULAR NERVE.",MSH,"Shape varies but generally symmetrical, with the outer ear visible. The middle and inner ear are hidden inside."
C0228232,None,None,None
C0040578,The cartilaginous and membranous tube descending from the larynx and branching into the right and left main bronchi.,MSH,The trachea is a tubular structure with c-shaped cartilage rings and lined with ciliated mucous membrane cells.
C0040426,One of a set of bone-like structures in the mouth used for biting and chewing.,MSH,"The tooth is a small, hard, white structure with a pointed shape and is used for biting and chewing."
C0021852,"The portion of the GASTROINTESTINAL TRACT between the PYLORUS of the STOMACH and the ILEOCECAL VALVE of the LARGE INTESTINE. It is divisible into three portions: the DUODENUM, the JEJUNUM, and the ILEUM.",MSH,"The small bowel in the gastrointestinal tract consists of the duodenum, jejunum, and ileum, connecting the stomach and large intestine."
C0012240,"A group of organs stretching from the MOUTH to the ANUS, serving to breakdown foods, assimilate nutrients, and eliminate waste. In humans, the digestive system includes the GASTROINTESTINAL TRACT and the accessory glands (LIVER; BILIARY TRACT; PANCREAS).",MSH,Digestive system image characteristics: Visual representation of the organs involved in breaking down food and absorbing nutrients.
C0678695,Various components of food that are required for nourishment.,MSH,"The image shows a variety of nutrients including vitamins, minerals, protein, carbohydrates, and fats needed for nourishment."
C0034896,"The distal segment of the LARGE INTESTINE, between the SIGMOID COLON and the ANAL CANAL.",MSH,"A fleshy, tubular organ located at the end of the large intestine, responsible for storing and eliminating feces."
C2239193,None,None,None
C0425583,None,None,None
C0005680,None,None,None
C0242821,None,None,None
C0033414,Encouragement of the progress or growth or acceptance of something.,NCI,"Promote image characteristics include quality, creativity, and relevance to effectively encourage progress and acceptance."
C0232338,"The movement of blood to and from the heart and to the rest of the body's organs, tissues, and cells through the network of arteries, veins, and capillaries. (NCI)",NCI,The image displays the intricate system of blood vessels that transport blood throughout the body.
C0085104,"Systems for the delivery of drugs to target sites of pharmacological actions. Technologies employed include those concerning drug preparation, route of administration, site targeting, metabolism, and toxicity.",MSH,This system image involves drug delivery technology for targeted pharmacological actions in the body.
C0024235,None,None,None
C1291658,None,None,None
C0015813,"The hemispheric articular surface at the upper extremity of the thigh bone. (Stedman, 26th ed)",MSH,"The femoral head image showcases a smooth, rounded projection at the top of the femur bone."
C0475372,A clinical and/or pathologic primary tumor TNM finding indicating that the cancer is limited to the site of growth.,NCI,T1 image typically shows a localized tumor within the organ or tissue of interest.
C0006114,Swelling due to an excessive accumulation of fluid in the brain.,NCI,"Brain edema image characteristics include enlarged ventricles, compressed sulci, and midline shift on computed tomography or magnetic resonance imaging."
C0006118,"Neoplasms of the intracranial components of the central nervous system, including the cerebral hemispheres, basal ganglia, hypothalamus, thalamus, brain stem, and cerebellum. Brain neoplasms are subdivided into primary (originating from brain tissue) and secondary (i.e., metastatic) forms. Primary neoplasms are subdivided into benign and malignant forms. In general, brain tumors may also be classified by age of onset, histologic type, or presenting location in the brain.",MSH,"Brain tumor image characteristics vary based on location, size, shape, and presence of surrounding edema or enhancement."
C0556636,"A SI derived unit of absorbed radiation dose. One gray is equal to an absorbed dose of one joule per kilogram of matter, or to 100 rads.",NCI,"Gray image characteristics: a quantitative measurement of absorbed radiation dose, equivalent to one joule per kilogram of matter."
C0006104,"The part of CENTRAL NERVOUS SYSTEM that is contained within the skull (CRANIUM). Arising from the NEURAL TUBE, the embryonic brain is comprised of three major parts including PROSENCEPHALON (the forebrain); MESENCEPHALON (the midbrain); and RHOMBENCEPHALON (the hindbrain). The developed brain consists of CEREBRUM; CEREBELLUM; and other structures in the BRAIN STEM.",MSH,"The brain is a complex organ within the skull made up of the cerebrum, cerebellum, and brain stem."
C0178587,The amount of something per unit size.,NCI,"The density of the object is high due to its compact size and weight, making it heavier than expected."
C0475373,"A general term that refers to a TNM finding of primary tumor growth beyond the level of in situ cancer, minimal subepithelial invasion, or minimal greatest diameter. The definition of T2 TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to primary tumor that is more than 2.0 cm, but not more than 5.0 cm in greatest dimension; for cutaneous melanoma it refers to primary tumor that is 1.01 to 2 mm in thickness, with or without ulceration; for colorectal cancer it refers to primary tumor with invasion into the muscularis propria; and for bladder cancer it refers to primary tumor with invasion into the muscle layer.",NCI,"T2 image characteristics vary depending on the type of cancer, including size, thickness, and depth of invasion."
C0005910,The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.,MSH,Weighted images in imaging studies provide enhanced contrast and highlight specific tissues or abnormalities under examination.
C0027651,"New abnormal growth of tissue. Malignant neoplasms show a greater degree of anaplasia and have the properties of invasion and metastasis, compared to benign neoplasms.",MSH,Abnormal tissue growth with potential for invasion and metastasis.
C0815006,Used only when the left hemisphere of the brain is the focus of the document.,PSY,The image showcases the intricate details and functions of the left hemisphere of the brain.
C0205082,Used to describe tumor samples that exhibit poorly differentiated or undifferentiated cells. They are generally expected to be fast growing and aggressive.,NCI,Tumor samples with severe image characteristics usually show poorly differentiated or undifferentiated cells and are aggressive in nature.
C0815007,Used only when the right hemisphere of the brain is the focus of the document.,PSY,None.
C1261075,The lobe of the right lung situated below the oblique fissure.,NCI,The lower right lobe of the lung appears as a prominent structure on the bottom right side.
C3887511,Knowledge on which to base belief.,NCI,"The evidence image characteristics are clear, detailed, and relevant to support the belief being formed."
C0009368,The segment of LARGE INTESTINE between the CECUM and the RECTUM. It includes the ASCENDING COLON; the TRANSVERSE COLON; the DESCENDING COLON; and the SIGMOID COLON.,MSH,"Characteristic of colon image is the segmented large intestine between the cecum and rectum, including ascending, transverse, descending, sigmoid."
C0012621,The pouring forth of a fluid.,NCI,"The discharge was a swift and continuous flow of water, cascading down the rocks into the river below."
C0441994,The bottom one of two.,NCI,The lower image showcases a close-up shot of a vibrant pink flower blooming in a lush green garden.
C1272745,None,None,None
C0020964,Nonsusceptibility to the invasive or pathogenic effects of foreign microorganisms or to the toxic effect of antigenic substances.,MSH,"Immunity image characteristics: Protective shield against harmful microorganisms or antigenic substances, providing defense against infection and disease."
C0015733,"Excrement from the INTESTINES, containing unabsorbed solids, waste products, secretions, and BACTERIA of the DIGESTIVE SYSTEM.",MSH,"Brown, solid, smelly waste expelled from the body, containing bacteria and undigested food particles."
C1420726,None,None,None
C0005682,"A musculomembranous sac along the URINARY TRACT. URINE flows from the KIDNEYS into the bladder via the ureters (URETER), and is held there until URINATION.",MSH,The bladder appears as a sac-like structure with a muscular and membranous lining. None
C1327616,"Production by a cell or aggregation of cells (a gland) of a physiologically active substance and its movement out of the cell or organ in which it is formed. Discharge across the cell membrane, into the intracellular space or ducts, of endogenous substances resulting from the activity of intact cells of glands, tissues, or organs.",NCI,"Secretions are produced by cells and released from glands. If no characteristics, output: none."
C0014442,"Biological molecules that possess catalytic activity. They may occur naturally or be synthetically created. Enzymes are usually proteins, however CATALYTIC RNA and CATALYTIC DNA molecules have also been identified.",MSH,"Enzymes are biological molecules that catalyze reactions, often protein-based with some exceptions like catalytic RNA or DNA molecules."
C0332582,None,None,None
C1698986,The act of safekeeping goods in a depository.,NCI,"The image depicts rows of shelves filled with assorted items, symbolizing organization and efficiency in storage management."
C0926821,None,None,None
C0926822,None,None,None
C0577059,None,None,None
