CUI,Description,DescriptionSource,Description-GPT
C0041618,The visualization of deep structures of the body by recording the reflections or echoes of ultrasonic pulses directed into the tissues. Use of ultrasound for imaging or diagnostic purposes employs frequencies ranging from 1.6 to 10 megahertz.,MSH,Ultrasound uses reflected ultrasonic pulses to create images of deep body structures for imaging and diagnostic purposes.
C0027651,"New abnormal growth of tissue. Malignant neoplasms show a greater degree of anaplasia and have the properties of invasion and metastasis, compared to benign neoplasms.",MSH,Malignant neoplasms are aggressive abnormal growths that can invade and spread to other parts of the body.
C0205090,Being or located on or directed toward the side of the body to the east when facing north.,NCI,The medical keyword refers to a body part or position situated on the east side when facing north.
C0039985,An x-ray examination of the chest.,NCI,An x-ray of the chest is used to diagnose and monitor conditions ranging from pneumonia to lung cancer.
C0439228,"The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours, equal to 86 400 seconds. This also refers to a specific day.",NCI,"The medical keyword refers to the duration of Earth's full rotation on its axis, equal to 24 hours."
C0034579,"Extraoral body-section radiography depicting an entire maxilla, or both maxilla and mandible, on a single film.",MSH,"Full-face dental x-rays show upper jaw or both upper and lower jaw on one film, allowing comprehensive assessment."
C0023884,"A large lobed glandular organ in the abdomen of vertebrates that is responsible for detoxification, metabolism, synthesis and storage of various substances.",MSH,"The liver is an important organ in vertebrates, performing detoxification, metabolism, synthesis, and storage of various substances."
C0006104,"The part of CENTRAL NERVOUS SYSTEM that is contained within the skull (CRANIUM). Arising from the NEURAL TUBE, the embryonic brain is comprised of three major parts including PROSENCEPHALON (the forebrain); MESENCEPHALON (the midbrain); and RHOMBENCEPHALON (the hindbrain). The developed brain consists of CEREBRUM; CEREBELLUM; and other structures in the BRAIN STEM.",MSH,The brain is part of the central nervous system located within the skull and consists of three major parts.
C0032790,The period following a surgical operation.,MSH,The time after surgery where the body recovers and heals is known as the postoperative period.
C0445204,Relating to or occurring during the period immediately before a surgical operation.,NCI,"""Preoperative refers to events or processes that happen before a surgical procedure takes place in a medical setting."""
C0086582,"A person who belongs to the sex that normally produces sperm. The term is used to indicate biological sex distinctions, cultural gender role distinctions, or both.",NCI,"The medical keyword ""male"" refers to the sex that typically produces sperm and encompasses both biological and cultural aspects."
C0009924,Substances used to allow enhanced visualization of tissues.,MSH,Substances enhancing tissue visualization aid in better examination and identification of medical conditions through improved imaging.
C0205217,None,None,None
C0233426,None,None,None
C0225317,"A general term comprising tissue that is not hardened or calcified; including muscle, fat, blood vessels, nerves, tendons, ligaments and fascia.",NCI,"Soft tissues include muscle, fat, blood vessels, nerves, tendons, ligaments, and fascia and are not hardened or calcified."
C0439230,Any period of seven consecutive days.,NCI,"A medical keyword meaning a continuous week, typically consisting of seven consecutive days."
C0025266,"Human males as cultural, psychological, sociological, political, and economic entities.",MSH,"The keyword focuses on human males and their role in various aspects of society including culture, psychology, and economics."
C0150312,Being or existing in a specified place or at the specified time.,NCI,Location or time-specific presence.
C0205107,Most near in time or space.,NCI,Proximity in time or space is the defining characteristic of this medical keyword mentioned in the description.
C1301886,The length of a straight line passing through the center of a circle or sphere and connecting two points on the circumference.,NCI,The diameter is the distance between two points on a circle or sphere passing through its center.
C0444706,Having been determined by measurement.,NCI,"Medical parameters are quantified through measurements to accurately assess a condition, track progress, or determine treatment effectiveness."
C0332290,Marked by a reasonable or logical relation of parts and holding together as a harmonious or credible whole.,NCI,"The medical term is characterized by a coherent structure that is logical, credible, and cohesive in its entirety."
C0021107,A surgical procedure that places something in the human body.,NCI,A surgical implantation procedure that inserts an object or substance into the body for medical purposes.
C0005682,"A musculomembranous sac along the URINARY TRACT. URINE flows from the KIDNEYS into the bladder via the ureters (URETER), and is held there until URINATION.",MSH,The bladder is a sac along the urinary tract that holds urine from the kidneys until it is released.
C0225897,The left lower chamber of the heart that receives blood from the left atrium and pumps it through the aorta to the body.,NCI,The left ventricle receives blood from the left atrium and pumps it through the aorta to the body.
C0225860,"One of four chambers of the heart, which receives blood from the pulmonary veins and pumps blood through the mitral valve into the left ventricle.",NCI,The left atrium receives oxygenated blood and pumps it through the mitral valve into the left ventricle.
C0024109,Either of the pair of organs occupying the cavity of the thorax that effect the aeration of the blood.,MSH,Lung pair in thoracic cavity oxygenates blood.
C0039798,"Used with diseases for therapeutic interventions except drug therapy, diet therapy, radiotherapy, and surgery, for which specific subheadings exist. The concept is also used for articles and books dealing with multiple therapies.",MSH,"Non-drug, non-diet, non-radiation, and non-surgical treatments used for diseases, including multiple therapies in articles and books."
C0006660,Process by which organic tissue becomes hardened by the physiologic deposit of calcium salts.,MSH,Organic tissue becomes hardened by the deposit of calcium salts through the process known as calcification.
C0453107,None,None,None
C0019409,The quality or state of consisting of elements that are not of the same kind or nature.,NCI,"Heterogeneity in medicine refers to the presence of varying elements in a state or quality, differing in kind or nature."
C2607943,None,None,None
C0011900,"The determination of the nature of a disease or condition, or the distinguishing of one disease or condition from another. Assessment may be made through physical examination, laboratory tests, or the likes. Computerized programs may be used to enhance the decision-making process.",MSH,"Diagnosing a disease involves examining symptoms, conducting tests, and using computer programs to identify and distinguish conditions."
C0038894,The branch of medical science that treats disease or injury by operative procedures.,NCI,Surgery is the branch of medicine that uses operative procedures to treat diseases or injuries in patients.
C0184666,Performance of the steps necessary to admit a patient to a hospital,SNOMEDCT_US,Summary: Admitting a patient to a hospital involves executing the required steps for their admission process.
C0002978,Radiography of blood vessels after injection of a contrast medium.,MSH,Contrast medium injection is used to perform radiography on blood vessels to visualize and assess their condition.
C0027530,The part of a human or animal body connecting the HEAD to the rest of the body.,MSH,"The neck serves as a biological bridge between the head and the body, allowing for communication and support."
C0205400,An increase in the thickness of a structure.,NCI,"Thickening of a structure refers to an abnormal growth or swelling, often indicating a medical condition or disease present."
C0225844,"One of the four chambers of the heart, which is located immediately superior to the right ventricle, and which receives deoxygenated venous blood from the systemic circulation.",NCI,The right atrium is a heart chamber that receives deoxygenated blood from the body's systemic circulation.
C0003483,The main trunk of the systemic arteries.,MSH,The systemic arteries are the main branches that carry oxygenated blood from the heart to the rest of the body.
C0205094,Denoting the front surface of the body; often used to indicate the position of one structure relative to another.,NCI,Describing the front of the body and indicating the position of one structure in relation to another.
C0205082,Used to describe tumor samples that exhibit poorly differentiated or undifferentiated cells. They are generally expected to be fast growing and aggressive.,NCI,"Poorly differentiated or undifferentiated tumor samples have fast-growing, aggressive cells, lacking distinct characteristics or specialization."
C0225883,The lower chamber of the heart located in the right side. It receives blood from the right atrium that is no longer oxygenated and it pumps it to the pulmonary artery.,NCI,The right ventricle receives deoxygenated blood from the right atrium and pumps it to the pulmonary artery.
C0205131,Situated on or along or in the direction of an axis.,NCI,Located on or parallel to the center line or axis of the body or structure.
C1306645,An image produced on a radiosensitive surface by x-ray radiation that has penetrated and passed through a structure.,NCI,An x-ray image is created on a specialized surface when radiation passes through and illuminates structures within the body.
C0589120,None,None,None
C0024687,The largest and strongest bone of the FACE constituting the lower jaw. It supports the lower teeth.,MSH,"The mandible is the largest bone in the face, supporting the lower teeth and serving as a strong foundation."
C0016658,Breaks in bones.,MSH,"Bone fractures are breaks in the structure of bones, resulting in damage to their integrity and continuity."
C0439064,An indefinite large quantity that is considered to be greater than several.,NCI,An abundance in medical terms described as exceeding several but without a defined quantity.
C0021485,None,None,None
C0205161,"Deviating in any way from the state, position, structure, condition, behavior, or rule which is considered a norm.",NCI,"The medical keyword describes anything that differs from the accepted norm in terms of state, structure, position, or behavior."
C0456389,The physical magnitude of something.,NCI,"Physical magnitude refers to the size, amount, or intensity of something in a medical context."
C0002940,"Pathological outpouching or sac-like dilatation in the wall of any blood vessel (ARTERIES or VEINS) or the heart (HEART ANEURYSM). It indicates a thin and weakened area in the wall which may later rupture. Aneurysms are classified by location, etiology, or other characteristics.",MSH,"Aneurysms are sac-like dilatations in blood vessels or the heart, indicating weak areas that may rupture. They pose risks."
C0038351,An organ of digestion situated in the left upper quadrant of the abdomen between the termination of the ESOPHAGUS and the beginning of the DUODENUM.,MSH,The stomach is a digestive organ located in the upper left abdomen between the esophagus and the duodenum.
C0242485,Annotation used to indicate the size or magnitude of something that was determined by comparison to a standard.,NCI,Annotation used to indicate size by comparing to a standard.
C0013604,Abnormal fluid accumulation in TISSUES or body cavities. Most cases of edema are present under the SKIN in SUBCUTANEOUS TISSUE.,MSH,"""Edema is abnormal fluid buildup in tissues or body cavities, with most cases occurring under the skin."""
C1514893,"Return to the normal structure and/or function, e.g. the subsidence of a pathologic process, as the subsidence of an inflammatory lesion or new growth.",NCI,"Recovery involves the restoration of normal structure and function, such as the resolution of inflammation or regression of growth."
C0332281,Joined in some kind of relationship.,NCI,"Interconnected, intertwined or associated with another entity, such as in a physiological or anatomical relationship."
C0018944,"A collection of blood outside the BLOOD VESSELS. Hematoma can be localized in an organ, space, or tissue.",MSH,"Blood outside vessels, known as hematoma, can collect in organs, spaces, or tissues causing localized swelling and pain."
C0023031,"The prototypical element in the rare earth family of metals. It has the atomic symbol La, atomic number 57, and atomic weight 138.91. Lanthanide ion is used in experimental biology as a calcium antagonist; lanthanum oxide improves the optical properties of glass.",MSH,"Lanthanum (La) is a rare earth metal with atomic number 57, used as a calcium antagonist in experimental biology."
C0392747,The act of alteration or modification; changed or altered in form or character.,NCI,"The process of changing something, resulting in a new form or character."
C0332197,Not existing in a specified place at a specified time.,NCI,Absence of a condition or entity in a specific location and timeframe.
C1710082,"A detectable physical quantity or impulse (e.g., voltage, current, or magnetic field strength).",NCI,"A measurable signal such as voltage, current, or magnetic field strength used in medical monitoring and diagnostics."
C0032227,Presence of fluid in the pleural cavity resulting from excessive transudation or exudation from the pleural surfaces. It is a sign of disease and not a diagnosis in itself.,MSH,"Presence of pleural effusion indicates excessive fluid in pleural cavity, result of transudation or exudation, signaling underlying disease."
C0002059,An enzyme that catalyzes the conversion of an orthophosphoric monoester and water to an alcohol and orthophosphate. EC 3.1.3.1.,MSH,An enzyme that helps convert a type of chemical compound into alcohol and orthophosphate through a catalytic process.
C0087086,None,None,None
C0017446,The continents and countries situated on those continents; the UNITED STATES and each of the constituent states arranged by region; CANADA and each of its provinces; AUSTRALIA and each of its states; the major bodies of water and major islands on both hemispheres; and selected major cities.,MSH,"This medical keyword describes the geographical regions and locations globally, including countries, states, bodies of water, and cities."
C0023128,"A country located in Eastern Europe, bordering the Baltic Sea, between Estonia and Lithuania. The capital is Riga.",MSH,"Eastern European country with Baltic Sea border, between Estonia and Lithuania, capital is Riga. (20 words)"
C0205108,"Situated farthest from a point of attachment or origin, as of a limb or bone; or directed away from the midline of the body.",NCI,"Farthest and directed away from the body's midline, such as a limb or bone, is the distal position."
C1627358,None,None,None
C0450429,"A position, site, or point in space where something can be found.",NCI,A specific location in the body where a medical condition or structure can be identified or observed.
C0012751,The space separating two objects or points.,NCI,The anatomical term for the space between two objects or points is known as the interspace.
C0015252,The surgical removal of an organ or a part of an organ.,NCI,"Surgical removal of an organ or part is known as resection, with the aim of treating or preventing disease."
C0016169,"Abnormal communication most commonly seen between two internal organs, or between an internal organ and the surface of the body.",MSH,Abnormal communication between internal organs or between an organ and the body surface is known as a fistula.
C0205095,Pertaining to the back or upper surface of the body; opposite of ventral.,NCI,"The term describes the back or upper body surface, opposite the ventral or front side of the body."
C0226032,A left coronary artery branch that descends on the anterior portion of the heart through the anterior interventricular groove.,NCI,A descending left coronary artery branch travels on the front of the heart through the anterior interventricular groove.
C0005889,Liquid components of living organisms.,MSH,Fluids in living things.
C0005931,"A specialized CONNECTIVE TISSUE that is the main constituent of the SKELETON. The principal cellular component of bone is comprised of OSTEOBLASTS; OSTEOCYTES; and OSTEOCLASTS, while FIBRILLAR COLLAGENS and hydroxyapatite crystals form the BONE MATRIX.",MSH,"Bone is a connective tissue that makes up the skeleton, with cells like osteoblasts, osteocytes, and osteoclasts, and collagen fibers."
C0030274,A nodular organ in the ABDOMEN that contains a mixture of ENDOCRINE GLANDS and EXOCRINE GLANDS. The small endocrine portion consists of the ISLETS OF LANGERHANS secreting a number of hormones into the blood stream. The large exocrine portion (EXOCRINE PANCREAS) is a compound acinar gland that secretes several digestive enzymes into the pancreatic ductal system that empties into the DUODENUM.,MSH,"The pancreas is an abdominal organ with both endocrine and exocrine functions, secreting hormones and enzymes respectively."
C0021102,A prosthesis placed permanently in tissue.,NCI,A permanent prosthesis is surgically implanted into tissue to replace or support a missing or damaged body part.
C0441635,One of the parts into which something naturally divides.,NCI,"A naturally dividing part, typically found in medical context."
C1314939,To have a connection by participation or association or use; sharing in an activity or process.,NCI,"Having a partnership or involvement in a common activity or process, such as in a medical research study."
C0005400,"The channels that collect and transport the bile secretion from the BILE CANALICULI, the smallest branch of the BILIARY TRACT in the LIVER, through the bile ductules, the bile ducts out the liver, and to the GALLBLADDER for storage.",MSH,Bile ducts collect and transport bile from liver bile canaliculi to gallbladder for storage via bile ductules.#
C0205143,The inclination of one line to another or the plane of one object to another.,NCI,"The angular relationship between two lines or objects, known as the inclination or plane."
C0038257,Devices that provide support for tubular structures that are being anastomosed or for body cavities during skin grafting.,MSH,Supportive devices aid in connecting tubular structures or during skin grafting by stabilizing body cavities or anastomoses.
C0001861,"The mixture of gases present in the earth's atmosphere consisting of oxygen, nitrogen, carbon dioxide, and small amounts of other gases.",MSH,"Earth's atmosphere is a mix of oxygen, nitrogen, carbon dioxide, and trace gases essential for life on our planet."
C0035190,The volume of air remaining in the LUNGS at the end of a maximal expiration. Common abbreviation is RV.,MSH,"RV is the abbreviation for residual volume, which refers to the air remaining in the lungs after a full exhale."
C0010709,"Any fluid-filled closed cavity or sac that is lined by an EPITHELIUM. Cysts can be of normal, abnormal, non-neoplastic, or neoplastic tissues.",MSH,"Cysts are fluid-filled sacs lined by epithelium, which can contain normal or abnormal tissues, and can be neoplastic."
C0022646,Body organ that filters blood for the secretion of URINE and that regulates ion concentrations.,MSH,Kidney filters blood for urine secretion and ion regulation.
C2945706,None,None,None
C3887511,Knowledge on which to base belief.,NCI,Information needed for forming opinions or making decisions in the medical field is crucial for optimal patient care.
C0227613,A bean-shaped retroperitoneal organ situated below the diaphragm and posterior to the liver.,NCI,"The organ, located behind the liver, is bean-shaped and positioned below the diaphragm in the retroperitoneum."
C0013303,The shortest and widest portion of the SMALL INTESTINE adjacent to the PYLORUS of the STOMACH. It is named for having the length equal to about the width of 12 fingers.,MSH,"The duodenum is the first segment of the small intestine, located near the stomach's pylorus, measuring approximately 12 finger-widths."
C0002893,"A severe sometimes chronic anemia, usually macrocytic in type, that does not respond to ordinary antianemic therapy.",MSH,Intractable macrocytic anemia resistant to standard treatments and can persist in its severe form for extended periods.
C0231448,To increase in length or duration.,NCI,To extend or prolong something.
C0227614,A bean-shaped retroperitoneal organ situated below the diaphragm and posterior to the spleen.,NCI,The kidney is a retroperitoneal organ located below the diaphragm and behind the spleen in the human body.
C0015376,"The leakage of body fluid or cells from the vascular system to the surrounding tissues. This process occurs either by force or as a result of a pathologic reaction (e.g., inflammation). This process may sometimes allow cancer cells to migrate from capillaries to adjacent tissues, initiating micro-metastases.",NCI,Leakage of fluid or cells from blood vessels to tissues can lead to cancer spread through micro-metastases.
C0332459,None,None,None
C0037993,An encapsulated lymphatic organ through which venous blood filters.,MSH,"The spleen is a filter for venous blood in the lymphatic system, functioning as an encapsulated organ in the body."
C0301630,A chemical reaction that results in a gain of electrons by one of the chemical species involved in the reaction.,NCI,A reduction reaction involves the gaining of electrons by a chemical species during a chemical reaction.
C0449450,To show or display; the act of presenting something to sight or view: how something looks.,NCI,"The term ""appearance"" refers to the visual presentation or display of something, such as how it looks or appears."
C0034571,"Used with organs, regions, and diseases for x-ray examinations.",MSH,"X-ray examinations are used with organs, regions, and diseases to diagnose and monitor health conditions in patients."
C0206054,"Ultrasonic recording of the size, motion, and composition of the heart and surrounding tissues using a transducer placed in the esophagus.",MSH,"Ultrasonic recording of heart and surrounding tissues using an esophageal transducer to measure size, motion, and composition."
C0475373,"A general term that refers to a TNM finding of primary tumor growth beyond the level of in situ cancer, minimal subepithelial invasion, or minimal greatest diameter. The definition of T2 TNM finding depends on the specific type of cancer that it refers to; for example, for breast cancer it refers to primary tumor that is more than 2.0 cm, but not more than 5.0 cm in greatest dimension; for cutaneous melanoma it refers to primary tumor that is 1.01 to 2 mm in thickness, with or without ulceration; for colorectal cancer it refers to primary tumor with invasion into the muscularis propria; and for bladder cancer it refers to primary tumor with invasion into the muscle layer.",NCI,"T2 TNM finding indicates primary tumor growth beyond in situ cancer, minimal invasion, or minimal diameter in various cancers."
C0205117,Next to or adjoining.,NCI,"Adjacent: An area that is next to or touching another, usually referring to body structures or organs in medicine."
C0202823,Computed tomography of the chest.,NCI,Chest CT is a medical imaging technique that provides detailed cross-sectional images of the chest region.
C0243144,"The absorption by a tissue of some substance, food material, mineral, etc., and its permanent or temporary retention.",NCI,"Tissue absorbs substance, food, or mineral, temporarily or permanently retaining it in the body for various purposes."
C0028259,"A small lump, swelling or collection of tissue.",NCI,A small bump or mass of tissue that is swollen and may be located under the skin or inside the body.
C1280412,"Wide in width, extent or cross-section.",NCI,This medical keyword describes a condition or object that is large or broad in size or dimension.
C0027627,The transfer of a neoplasm from one organ or part of the body to another remote from the primary site.,MSH,Metastasis refers to the spread of cancer cells from the original site to other parts of the body.
C0332463,None,None,None
C0020564,"General increase in bulk of a part or organ due to CELL ENLARGEMENT and accumulation of FLUIDS AND SECRETIONS, not due to tumor formation, nor to an increase in the number of cells (HYPERPLASIA).",MSH,"Increase in size of organ from cell enlargement and fluid accumulation, not due to tumor formation or cell increase."
C0392756,Made less in size or amount or degree.,NCI,"Reduced in size, amount, or degree; a decrease in the overall magnitude or intensity of a medical condition."
C0031809,Systematic and thorough inspection of the patient for physical signs of disease or abnormality.,MSH,Complete physical examination to look for signs of illness or abnormalities in the patient's body.
C0013516,"Ultrasonic recording of the size, motion, and composition of the heart and surrounding tissues. The standard approach is transthoracic.",MSH,"Ultrasonic imaging of heart and tissues, typically done through transthoracic approach. Size, motion, and composition are evaluated."
C0040578,The cartilaginous and membranous tube descending from the larynx and branching into the right and left main bronchi.,MSH,"Descend from larynx, divide into two main bronchi: cartilaginous and membranous tube known as trachea."
C0001168,None,None,None
C0034052,The short wide vessel arising from the conus arteriosus of the right ventricle and conveying unaerated blood to the lungs.,MSH,The pulmonary artery carries deoxygenated blood from the right ventricle to the lungs for oxygenation and exchange.
C0227481,The larger lobe of the liver extending into the right side of the body.,NCI,The main part of the liver that extends into the right side of the body is the right lobe.
C0871362,None,None,None
C0014876,The muscular membranous segment between the PHARYNX and the STOMACH in the UPPER GASTROINTESTINAL TRACT.,MSH,The muscular membranous section connecting the pharynx and stomach in the upper gastrointestinal tract is the esophagus.
C0205271,Lacking perfect symmetry or evenness.,NCI,Not having equal sides or proportions; asymmetry is present in the medical condition described.
C0085532,Radiography of the vascular system of the heart muscle after injection of a contrast medium.,MSH,"Summary: ""Visualizing the heart's blood vessels using contrast dye through radiography."""
C0046056,"The compound is given by intravenous injection to do POSITRON-EMISSION TOMOGRAPHY for the assessment of cerebral and myocardial glucose metabolism in various physiological or pathological states including stroke and myocardial ischemia. It is also employed for the detection of malignant tumors including those of the brain, liver, and thyroid gland. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1162)",MSH,"Intravenous compound used for PET scans to assess glucose metabolism in stroke, ischemia, and detect tumors in various organs."
C0543467,"Operations carried out for the correction of deformities and defects, repair of injuries, and diagnosis and cure of certain diseases. (Taber, 18th ed.).",MSH,"Medical operations correct deformities, repair injuries, and cure diseases to improve patient health and well-being."
C0549183,"A medial line, especially the medial line or medial plane of the body (or some part of the body).",NCI,"The term refers to a middle line or plane in the body, commonly used to describe its central axis."
C1705504,"Human KAT5 wild-type allele is located within 11q13 and is approximately 8 kb in length. This allele, which encodes histone acetyltransferase KAT5 protein, is involved in the acetylation of nucleosomal histones H4 and H2A.",NCI,The human KAT5 allele on chromosome 11 encodes a protein that acetylates histones H4 and H2A.
C0085590,"A flexible, tubular device that is used to carry fluids into or from a blood vessel, hollow organ, or body cavity.",MSH,A catheter is a flexible tube used to deliver or remove fluids from the body through blood vessels or cavities.
C0018787,"The hollow, muscular organ that maintains the circulation of the blood.",MSH,"The heart is a hollow, muscular organ responsible for maintaining blood circulation in the body."
C0011334,"Localized destruction of the tooth surface initiated by decalcification of the enamel followed by enzymatic lysis of organic structures and leading to cavity formation. If left unchecked, the cavity may penetrate the enamel and dentin and reach the pulp.",MSH,"Tooth decay is the erosion of the tooth caused by decalcification and organic breakdown, potentially reaching the pulp."
C0021853,The section of the alimentary canal from the STOMACH to the ANAL CANAL. It includes the LARGE INTESTINE and SMALL INTESTINE.,MSH,"The gastrointestinal tract is from the stomach to the anal canal, including the large intestine and small intestine."
C1511606,A pathologic process that contains a single or multiple sac-like spaces.,NCI,A medical keyword describing the presence of one or more sac-like spaces within a pathological process.
C0000833,"Accumulation of purulent material in tissues, organs, or circumscribed spaces, usually associated with signs of infection.",MSH,Pus buildup in body areas causing infection signs.
C0700124,The condition of being dilated or stretched.,NCI,"Being dilated or stretched refers to the condition of being enlarged or expanded, typically within a medical context."
C0205385,None,None,None
C0332448,The process of the diffusion or accumulation in a tissue or cells of a substance not normal to it or in amounts above normal. (NCI),NCI,"Abnormal build-up or spread of a substance in tissue or cells, exceeding normal levels, known as diffusion or accumulation."
C0521530,A chest X-ray finding indicating the presence of a radio-opaque area in the lung. The opacification is caused by fluid or solid material within the airways or lung parenchyma.,NCI,Chest X-ray shows radio-opaque area in lung due to fluid or solid material inside airways or lung tissue.
C0728985,The set of vertebrae immediately caudal to the skull.,NCI,"The set of vertebrae right after the skull, towards the tail end of the body."
C0444708,None,None,None
C0678234,None,None,None
C0037303,The SKELETON of the HEAD including the FACIAL BONES and the bones enclosing the BRAIN.,MSH,"The skull is the framework of the head, consisting of facial bones and bones protecting the brain."
C0034606,"The production of an image obtained by cameras that detect the radioactive emissions of an injected radionuclide as it has distributed differentially throughout tissues in the body. The image obtained from a moving detector is called a scan, while the image obtained from a stationary camera device is called a scintiphotograph.",MSH,"Medical keyword: Imaging technique using cameras to detect radioactive emissions of injected radionuclide, providing scan or scintiphotograph images."
C1699633,An imaging technique that combines a POSITRON-EMISSION TOMOGRAPHY (PET) scanner and a CT X RAY scanner. This establishes a precise anatomic localization in the same session.,MSH,PET/CT scan combines imaging from PET and CT scanners to provide both functional and anatomical information in one session.
C0225706,The 3-lobed lung located on the right side of the body.,NCI,Right-sided tri-lobed lung structure is a vital organ responsible for gas exchange in the respiratory system.
C0086296,None,None,None
C0016976,"A storage reservoir for BILE secretion. Gallbladder allows the delivery of bile acids at a high concentration and in a controlled manner, via the CYSTIC DUCT to the DUODENUM, for degradation of dietary lipid.",MSH,Gallbladder stores and releases concentrated bile to aid in the digestion of dietary lipids through the cystic duct.
C0333307,None,None,None
C0025066,"A membrane in the midline of the THORAX of mammals. It separates the lungs between the STERNUM in front and the VERTEBRAL COLUMN behind. It also surrounds the HEART, TRACHEA, ESOPHAGUS, THYMUS, and LYMPH NODES.",MSH,The mediastinum is a central membrane in the thorax that separates the lungs and contains important organs like the heart.
C0376443,An ultrasound administered by using a tube containing flexible fibre optic wires that allows for the analysis of tissues inside the body. Ultrasound technology utilizes high frequency waves and their echoes to produce an image. 2005,NCI,Flexible fibre optic ultrasound tube allows analysis of internal body tissues using high frequency wave echoes to produce images.
C0205216,A subjective response indicating that something is or has decreased.,NCI,Subjective indication of decrease.
C0205307,"In pathology, a term that is used to describe a tissue specimen that has a normal appearance.",NCI,"""Normal-looking tissue sample used in pathology to describe a specimen with natural appearance."""
C0040426,One of a set of bone-like structures in the mouth used for biting and chewing.,MSH,Teeth are bone-like structures in the mouth that are used for biting and chewing during the process of eating.
C0037949,The spinal or vertebral column.,MSH,The spinal column is the central support structure of the body made up of individual vertebrae stacked together.
C0227230,The main section of the digestive tube that connects the esophagus to the small intestine. The body proper excludes the upper and lower sections of the fundus and pyloric portion respectively.,NCI,"The main section of the digestive tube connecting the esophagus to the small intestine, excluding the fundus and pyloric portion."
C0035359,"An area occupying the most posterior aspect of the ABDOMINAL CAVITY. It is bounded laterally by the borders of the quadratus lumborum muscles and extends from the DIAPHRAGM to the brim of the true PELVIS, where it continues as the pelvic extraperitoneal space.",MSH,"The retroperitoneum is the area at the back of the abdominal cavity, bordered by the quadratus lumborum muscles."
